id;eventname;hostname;traptime;i2;e2;h2;t2;formatline;fl2
10940879;alarmACmainsTrap;RC_EV_SCF2_MT_MTN_1;"2014-10-09 23:36:11";10940868;linkDown;AC_AL_SA30_MT_MTN_1;"2014-10-09 23:36:00";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306282496"
10940879;alarmACmainsTrap;RC_EV_SCF2_MT_MTN_1;"2014-10-09 23:36:11";10940867;linkDown;AC_AL_SA30_MT_MTN_1;"2014-10-09 23:36:00";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306282496"
10940879;alarmACmainsTrap;RC_EV_SCF2_MT_MTN_1;"2014-10-09 23:36:11";10940866;linkDown;AC_AL_SA30_MT_MTN_1;"2014-10-09 23:36:00";"1 0";"A linkDown trap signifies that the SNMPv2 entity, 306282496"
10940879;alarmACmainsTrap;RC_EV_SCF2_MT_MTN_1;"2014-10-09 23:36:11";10940864;linkDown;AC_AL_SA30_MT_MTN_1;"2014-10-09 23:36:00";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306282496"
10940879;alarmACmainsTrap;RC_EV_SCF2_MT_MTN_1;"2014-10-09 23:36:11";10940865;linkDown;AC_AL_SA30_MT_MTN_1;"2014-10-09 23:36:00";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306282496"
10940879;alarmACmainsTrap;RC_EV_SCF2_MT_MTN_1;"2014-10-09 23:36:11";10940863;linkDown;AC_AL_SA30_MT_MTN_1;"2014-10-09 23:36:00";"1 0";"Link down on interface 306282496.  Admin state: $2.  Operational state: $3 "
10940780;alarmACmainsTrap;RC_EV_SCF2_CA_SLI_1;"2014-10-09 23:34:56";NULL;NULL;NULL;NULL;"1 0";NULL
10940696;alarmACmainsTrap;RC_EV_SCF2_BL_MGG_1;"2014-10-09 23:33:52";NULL;NULL;NULL;NULL;"1 0";NULL
10940256;alarmACmainsTrap;RC_EV_SCF2_BL_MGG_1;"2014-10-09 23:27:58";NULL;NULL;NULL;NULL;"1 0";NULL
10940181;alarmACmainsTrap;RC_EV_SCF2_MG_SNV_1;"2014-10-09 23:26:35";NULL;NULL;NULL;NULL;"1 0";NULL
10939693;alarmACmainsTrap;RC_EV_SCF2_BL_MGG_1;"2014-10-09 23:19:03";NULL;NULL;NULL;NULL;"1 0";NULL
10939645;alarmACmainsTrap;RC_EV_SCF2_CR_MTS_1;"2014-10-09 23:18:20";NULL;NULL;NULL;NULL;"1 0";NULL
10939578;alarmACmainsTrap;RC_EV_SCF2_SU_TVJ_1;"2014-10-09 23:16:56";NULL;NULL;NULL;NULL;"1 0";NULL
10939368;alarmACmainsTrap;RC_EV_SCF2_MT_PLL_1;"2014-10-09 23:10:33";10939333;linkDown;AC_AL_SA30_MT_PLL_1;"2014-10-09 23:10:16";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306249728"
10939368;alarmACmainsTrap;RC_EV_SCF2_MT_PLL_1;"2014-10-09 23:10:33";10939332;linkDown;AC_AL_SA30_MT_PLL_1;"2014-10-09 23:10:16";"1 0";"A linkDown trap signifies that the SNMPv2 entity, 306249728"
10939368;alarmACmainsTrap;RC_EV_SCF2_MT_PLL_1;"2014-10-09 23:10:33";10939331;linkDown;AC_AL_SA30_MT_PLL_1;"2014-10-09 23:10:16";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306249728"
10939368;alarmACmainsTrap;RC_EV_SCF2_MT_PLL_1;"2014-10-09 23:10:33";10939330;linkDown;AC_AL_SA30_MT_PLL_1;"2014-10-09 23:10:16";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306249728"
10939368;alarmACmainsTrap;RC_EV_SCF2_MT_PLL_1;"2014-10-09 23:10:33";10939329;linkDown;AC_AL_SA30_MT_PLL_1;"2014-10-09 23:10:16";"1 0";"Link down on interface 306249728.  Admin state: $2.  Operational state: $3 "
10939368;alarmACmainsTrap;RC_EV_SCF2_MT_PLL_1;"2014-10-09 23:10:33";10939334;linkDown;AC_AL_SA30_MT_PLL_1;"2014-10-09 23:10:16";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306249728"
10939360;alarmACmainsTrap;RC_EV_SCF2_MT_PRI_1;"2014-10-09 23:10:27";10939424;linkDown;AC_AL_SA30_MT_PRI_1;"2014-10-09 23:11:02";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306315264"
10939360;alarmACmainsTrap;RC_EV_SCF2_MT_PRI_1;"2014-10-09 23:10:27";10939423;linkDown;AC_AL_SA30_MT_PRI_1;"2014-10-09 23:11:02";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306315264"
10939360;alarmACmainsTrap;RC_EV_SCF2_MT_PRI_1;"2014-10-09 23:10:27";10939421;linkDown;AC_AL_SA30_MT_PRI_1;"2014-10-09 23:11:02";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306315264"
10939360;alarmACmainsTrap;RC_EV_SCF2_MT_PRI_1;"2014-10-09 23:10:27";10939422;linkDown;AC_AL_SA30_MT_PRI_1;"2014-10-09 23:11:02";"1 0";"A linkDown trap signifies that the SNMPv2 entity, 306315264"
10939360;alarmACmainsTrap;RC_EV_SCF2_MT_PRI_1;"2014-10-09 23:10:27";10939420;linkDown;AC_AL_SA30_MT_PRI_1;"2014-10-09 23:11:02";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306315264"
10939360;alarmACmainsTrap;RC_EV_SCF2_MT_PRI_1;"2014-10-09 23:10:27";10939419;linkDown;AC_AL_SA30_MT_PRI_1;"2014-10-09 23:11:02";"1 0";"Link down on interface 306315264.  Admin state: $2.  Operational state: $3 "
10939360;alarmACmainsTrap;RC_EV_SCF2_MT_PRI_1;"2014-10-09 23:10:27";10939340;linkDown;AC_AL_SA30_MT_PRI_1;"2014-10-09 23:10:16";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306249728"
10939360;alarmACmainsTrap;RC_EV_SCF2_MT_PRI_1;"2014-10-09 23:10:27";10939338;linkDown;AC_AL_SA30_MT_PRI_1;"2014-10-09 23:10:16";"1 0";"A linkDown trap signifies that the SNMPv2 entity, 306249728"
10939360;alarmACmainsTrap;RC_EV_SCF2_MT_PRI_1;"2014-10-09 23:10:27";10939339;linkDown;AC_AL_SA30_MT_PRI_1;"2014-10-09 23:10:16";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306249728"
